id,original_language,Title,popularity,release_date,TMDB rating,vote_count,genre,IMDB rating
654754,en,Billie Eilish: The World's a Little Blurry,15.367,2021-02-26,8.7,195,"['Documentary', 'Music']",7.8
278,en,The Shawshank Redemption,58.255,1994-09-23,8.7,19908,"['Drama', 'Crime']",9.3
724089,en,Gabriel's Inferno Part II,9.417,2020-07-31,8.7,1314,['Romance'],6.8
738362,en,The Fresh Prince of Bel-Air Reunion Special,9.725,2020-11-18,8.7,106,['Documentary'],8.3
238,en,The Godfather,61.648,1972-03-14,8.7,14928,"['Drama', 'Crime']",9.2
768141,en,Folklore: The Long Pond Studio Sessions,17.436,2020-11-25,8.7,68,"['Music', 'Documentary']",8.5
240,en,The Godfather: Part II,53.735,1974-12-20,8.6,8970,"['Drama', 'Crime']",9.0
576712,en,Everybody's Everything,13.335,2019-11-12,8.6,202,['Documentary'],7.5
210769,en,Scooby-Doo! Adventures: The Mystery Map,17.343,2013-07-22,8.6,44,"['Family', 'Comedy', 'Mystery', 'Animation']",5.2
761053,en,Gabriel's Inferno Part III,21.173,2020-11-19,8.6,882,"['Romance', 'Comedy']",6.9
637663,en,DC Showcase: Death,11.711,2019-10-22,8.6,59,"['Fantasy', 'Animation', 'Drama']",7.9
532905,en,Hope,14.953,2013-10-02,8.6,11,['Drama'],8.0
424,en,Schindler's List,34.579,1993-11-30,8.6,11931,"['Drama', 'History', 'War']",8.9
664280,en,David Attenborough: A Life on Our Planet,14.495,2020-09-28,8.5,198,['Documentary'],9.0
441130,en,Wolfwalkers,22.08,2020-10-26,8.5,585,"['Animation', 'Family', 'Adventure', 'Fantasy']",8.0
155,en,The Dark Knight,66.044,2008-07-14,8.5,26004,"['Drama', 'Action', 'Crime', 'Thriller']",9.0
526702,en,Black Beauty,11.308,2020-11-27,8.5,223,['Drama'],6.4
497,en,The Green Mile,76.758,1999-12-10,8.5,12912,"['Fantasy', 'Drama', 'Crime']",8.6
20575,en,Queen: Live at Wembley Stadium,9.219,1986-07-12,8.5,102,['Music'],9.1
13,en,Forrest Gump,46.141,1994-07-06,8.5,21403,"['Comedy', 'Drama', 'Romance']",8.8
164558,en,One Direction: This Is Us,15.56,2013-08-30,8.5,846,"['Documentary', 'Music']",4.3
680,en,Pulp Fiction,50.253,1994-09-10,8.5,21922,"['Thriller', 'Crime']",8.9
769,en,GoodFellas,33.889,1990-09-12,8.5,9416,"['Drama', 'Crime']",8.7
463288,en,Star vs. the Forces of Evil: The Battle for Mewni,10.935,2017-07-15,8.5,76,"['Fantasy', 'Animation', 'Comedy']",9.1
389,en,12 Angry Men,24.123,1957-04-10,8.5,5901,['Drama'],9.0
122,en,The Lord of the Rings: The Return of the King,78.82,2003-12-01,8.5,18429,"['Adventure', 'Fantasy', 'Action']",8.9
704264,en,Primal: Tales of Savagery,37.872,2019-11-21,8.4,192,"['Action', 'Adventure', 'Animation']",8.7
45139,en,Jesus,21.477,1979-10-19,8.4,143,"['Drama', 'History']",5.5
599,en,Sunset Boulevard,13.199,1950-08-10,8.4,1805,['Drama'],8.4
324857,en,Spider-Man: Into the Spider-Verse,146.961,2018-12-06,8.4,10038,"['Action', 'Adventure', 'Animation', 'Science Fiction', 'Comedy']",8.4
510,en,One Flew Over the Cuckoo's Nest,17.202,1975-11-18,8.4,8103,['Drama'],8.7
2405,en,Joseph,27.301,1995-04-16,8.4,109,"['Drama', 'History']",7.7
244786,en,Whiplash,41.318,2014-10-10,8.4,11489,"['Drama', 'Music']",8.5
901,en,City Lights,12.788,1931-02-01,8.4,1498,"['Comedy', 'Drama', 'Romance']",8.5
423,en,The Pianist,28.077,2002-09-17,8.4,6727,"['Drama', 'War']",8.5
914,en,The Great Dictator,14.737,1940-10-23,8.4,2412,['Comedy'],8.4
618344,en,Justice League Dark: Apokolips War,68.972,2020-05-05,8.4,1050,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Science Fiction']",7.8
311,en,Once Upon a Time in America,25.559,1984-05-23,8.4,3805,"['Drama', 'Crime']",8.3
1891,en,The Empire Strikes Back,19.261,1980-05-20,8.4,13444,"['Adventure', 'Action', 'Science Fiction']",8.7
556574,en,Hamilton,18.028,2020-07-03,8.4,820,"['Music', 'History', 'Drama']",8.4
734586,en,Joker: Put on a Happy Face,10.21,2020-08-18,8.4,23,['Documentary'],6.9
447362,en,Life in a Year,56.455,2020-11-27,8.4,864,"['Drama', 'Romance']",6.2
120,en,The Lord of the Rings: The Fellowship of the Ring,89.246,2001-12-18,8.4,19849,"['Adventure', 'Fantasy', 'Action']",8.8
239459,en,No Half Measures: Creating the Final Season of Breaking Bad,19.668,2013-11-26,8.4,88,['Documentary'],8.5
76115,en,The Phantom of the Opera at the Royal Albert Hall,9.45,2011-09-27,8.4,112,"['Music', 'Drama', 'Romance']",8.8
539,en,Psycho,34.054,1960-06-22,8.4,7680,"['Horror', 'Drama', 'Thriller']",8.5
653610,en,Disclosure,9.85,2020-06-19,8.4,87,['Documentary'],6.1
522924,en,The Art of Racing in the Rain,21.472,2019-08-08,8.4,903,"['Comedy', 'Drama', 'Romance']",7.6
73,en,American History X,28.626,1998-07-01,8.4,9031,['Drama'],8.5
567,en,Rear Window,20.368,1954-09-01,8.4,4750,"['Thriller', 'Mystery']",8.5
