Title,Grade,tconst
Jason Bourne,6.0,tt4196776
Sausage Party,3.0,tt1700841
Suicide Squad,6.8,tt1386697
Ben-Hur,6.5,tt2638144
Star Trek Beyond, 8,tt2660888
The Legend of Tarzan,7.5,tt0918940
Doctor Strange,8.5,tt1211837
Sully,8.8,tt3263904
Arrival,9.0,tt2543164
Nerve,7.5,tt3531824
Fantastic Beasts and Where to Find Them, 7.5,tt3183660
The Magnificent Seven,8.0,tt2404435
Rogue One, 9.5,tt3748528
Miss Peregrine's Home for Peculiar Children,6.5,tt1935859
Deepwater Horizon,8.0,tt1860357
Passengers,7.5,tt1355644
Assassin's Creed,7.0,tt2094766
Split,9.0,tt4972582
Sleepless,7.0,tt2072233
The Great Wall,6.5,tt2034800
John Wick: Chapter 2, 8.5,tt4425200
The Lego Batman Movie,8.0,tt4116284
Fist Fight,7.0,tt3401882
Logan,10.0,tt3315342
Kong: Skull Island,7.5,tt3731562
Power Rangers,5.0,tt3717490
Ghost in the Shell,6.0,tt1219827
Beauty and the Beast,7.0,tt2771200
Life,7.0,tt5442430
Get Out,10.0,tt5052448
Guardians of the Galaxy Vol. 2,9.0,tt3896198
Alien: Covenant,5.0,tt2316204
Pirates of the Caribbean: Dead Men Tell No Tales, 7,tt1790809
Wonder Woman,9.0,tt0451279
Baby Driver,10.0,tt3890160
Spider-Man: Homecoming,9.0,tt2250912
War for the Planet of the Apes,9.5,tt3450958
Dunkirk,8.5,tt5013056
Valerian and the City of a Thousand Planets,5.5,tt2239822
Atomic Blonde,6.5,tt2406566
The Hitman's Bodyguard,6.5,tt1959563
Overdrive,6.0,tt1935194
Kingsman: The Golden Circle,9.5,tt4649466
American Made,7.0,tt3532216
Blade Runner 2049,10.0,tt1856101
American Assassin,6.0,tt1961175
Thor: Ragnarok,10.0,tt3501632
Justice League,5.0,tt0974015
Star Wars: Episode VIII - The Last Jedi,8.5,tt2527336
Jumanji: Welcome to the Jungle,8.5,tt2283362
Murder on the Orient Express,6.5,tt3402236
The Greatest Showman,8.0,tt1485796
12 Strong,8.5,tt1413492
Black Panther,9.5,tt1825683
Ready Player One,7.5,tt1677720
Avengers: Infinity War,10.0,tt4154756
Jurassic World: Fallen Kingdom,7.5,tt4881806
Incredibles 2,9.5,tt3606756
Deadpool 2,8.5,tt5463162
Ant-Man and the Wasp,8.0,tt5095030
Tag,8.5,tt2854926
Skyscraper,6.0,tt5758778
Mission: Impossible - Fallout,10.0,tt4912910
The Darkest Minds,6.0,tt4073790
The Meg,5.0,tt4779682
The Equalizer 2,7.0,tt3766354
BlacKkKlansman,8.0,tt7349662
The Predator,5.5,tt3829266
Papillon,8.5,tt5093026
Venom,5.5,tt1270797
Night School,7.5,tt6781982
Bohemian Rhapsody,10.0,tt1727824
Johnny English Strikes Again,7.0,tt6921996
Fantastic Beasts: The Crimes of Grindelwald, 6,tt4123430
Mortal Engines,4.0,tt1571234
Bumblebee,7.5,tt4701182
Aquaman,5.5,tt1477834
Creed II,8.5,tt6343314
Glass,7.0,tt6823368
Green Book,9.5,tt6966692
Instant Family,8.5,tt7401588
Alita: Battle Angel,6.5,tt0437086
Captain Marvel,7.5,tt4154664
Escape Room,6.0,tt5886046
Us,7.5,tt6857112
Shazam!,7.5,tt0448115
The Hummingbird Project,6.5,tt6866224
The Beach Bum,6.0,tt6511932
Avengers: Endgame,10.0,tt4154796
John Wick: Chapter 3 - Parabellum,6.5,tt6146586
Pokémon: Detective Pikachu, 7.5,tt5884052
Aladdin,7.5,tt6139732
Rocketman,6.0,tt2066051
Godzilla: King of the Monsters, 5,tt3741700
Dark Phoenix, 4,tt6565702
Men in Black: International, 7,tt2283336
Long Shot,8.5,tt2139881
Spider-Man: Far from Home,10.0,tt6320628
Yesterday,8.0,tt8079248
Booksmart,8.5,tt1489887
Toy Story 4,7.0,tt1979376
Stuber,6.0,tt7734218
The Lion King,6.0,tt6105098
Fast & Furious Presents: Hobbs & Shaw,6.5,tt6806448
Good Boys,7.0,tt6977338
Once Upon a Time... in Hollywood, 7.5,tt7131622
Night Hunter,7.0,tt6533240
It Chapter Two, 8.5,tt7349950
Anna,7.5,tt7456310
Ad Astra,6.5,tt2935510
Rambo: Last Blood, 7,tt1206885
Joker,10.0,tt7286456
Gemini Man,5.5,tt1025100
Doctor Sleep,9.5,tt5606664
Ford v Ferrari,10.0,tt1950186
Knives Out,10.0,tt8946378
Star Wars: Episode IX - The Rise of Skywalker,4.5,tt2527338
1917,9.0,tt8579674
Birds of Prey,6.5,tt7713068
The Gentlemen,7.0,tt8367814
The Invisible Man,7.5,tt1051906
The Last Full Measure,8.0,tt0783640
Ava,6.0,tt8784956
Tenet,9.5,tt6723592
The New Mutants,4.0,tt4682266
Antebellum,5.0,tt10065694
Honest Thief,5.5,tt1838556
A Quiet Place Part II,8.5,tt8332922
The Suicide Squad,7.5,tt6334354
Free Guy,9.0,tt6264654
Mijn beste vriendin Anne Frank,8.0,tt10360772
Shang-Chi and the Legend of the Ten Rings,9.5,tt9376612
Dune,10.0,tt1160419
Eternals,6.5,tt9032400
